name,cuisine,address,latitude,longitude,amenity,source,area,rating,review_count,popularity,quality_score,weighted_score
Depot 77 Sawojajar Halalan Toyiban,Unknown,"Depot 77 Sawojajar Halalan Toyiban, Jalan Danau Bratan H1 - Q33, Malang 65139, East Java, Indonesia",-7.978333399759375,112.6670842,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.5,1455,7.283448228756631,0.9,4.5877306828984326
Mifeng Kopitiam,Unknown,"Mifeng Kopitiam, Ijen Boulevard 94, RW 07 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65119, East Java, Indonesia",-7.963045099758472,112.62578179999998,"['catering', 'catering.restaurant', 'catering.restaurant.regional', 'halal']",geoapify,Kota Malang,4.5,1305,7.174724309836376,0.9,4.566268909671372
Cigyl and Craft,Unknown,"Cigyl and Craft, Ijen Boulevard 25a, RW 07 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65115, East Java, Indonesia",-7.971999999759011,112.6208525,"['catering', 'catering.cafe']",geoapify,Kota Malang,3.6,1037,6.945051063725834,0.72,3.890932104547904
Coto Makassar,Unknown,"Coto Makassar, Jalan Widodaren 99, Malang 65119, East Java, Indonesia",-7.979777199759478,112.62702199999998,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian', 'internet_access', 'internet_access.free']",geoapify,Kota Malang,4.0,1731,7.4570320891223805,0.8,4.271995612676948
Teman Nongkrong Malang,Unknown,"Teman Nongkrong Malang, Jalan Jaksa Agung Suprapto 40 B4, Malang 65115, East Java, Indonesia",-7.967204299758717,112.6339554,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.1,1773,7.480992162869525,0.82,4.3467252588704595
Sego Tempong ABG,Unknown,"Sego Tempong ABG, Jalan Candi Waringin Lawang, Malang 65125, East Java, Indonesia",-7.942745399757281,112.6376146,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian', 'wheelchair', 'wheelchair.limited']",geoapify,Kota Malang,3.8,1315,7.182352111885263,0.76,4.077774614758347
Waroeng Steak & Shake,Unknown,"Waroeng Steak & Shake, Arjuno St., Malang 65119, East Java, Indonesia",-7.97906429975943,112.6263111,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.2,68,4.23410650459726,0.8400000000000001,3.7757998361661347
TUKU - Malang,Unknown,"TUKU - Malang, Jombang St. 27, Malang 65115, East Java, Indonesia",-7.967295999758731,112.6155925,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.1,1948,7.575071699507561,0.82,4.365296275263949
Oppa Express,Unknown,"Oppa Express, Jalan Jenderal Basuki Rachmat 41, RW 04 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65119, East Java, Indonesia",-7.978663599759403,112.6292867,"['catering', 'catering.cafe']",geoapify,Kota Malang,3.6,1868,7.533158807455563,0.72,4.007022796958131
Kolektibles,Unknown,"Kolektibles, Jalan Puncak Tidar, Pandanlandung 65146, East Java, Indonesia",-7.964412799758557,112.5929172,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.1,1470,7.293697720601438,0.82,4.3097539016330995
Maju Jaya 57,Unknown,"Maju Jaya 57, Jalan Arif Margono 6, Malang 65117, East Java, Indonesia",-7.985522599759819,112.6242539,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.6,821,6.71174039505618,0.9199999999999999,4.544877283197004
SA Asli Masakan Padang,Unknown,"SA Asli Masakan Padang, Jalan Terusan Dieng, Malang 65115, East Java, Indonesia",-7.972801849759056,112.61244476721356,"['building', 'building.catering', 'catering', 'catering.restaurant']",geoapify,Kota Malang,4.4,1368,7.221835825288449,0.8800000000000001,4.505568580535492
Rumah Makan Kairo Jagalan,Unknown,"Rumah Makan Kairo Jagalan, Kapten Piere Tendean 1, Malang 65117, East Java, Indonesia",-7.986776049759885,112.6284335,"['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.asian']",geoapify,Kota Malang,4.2,183,5.214935757608986,0.8400000000000001,3.9694125684117845
Warung Prasmanan Pagi 99,Unknown,"Warung Prasmanan Pagi 99, Jalan Terusan Sulfat A4, Malang 65139, East Java, Indonesia",-7.966607599758685,112.66006865,"['building', 'building.catering', 'building.public_and_civil', 'catering', 'catering.restaurant', 'catering.restaurant.indonesian', 'halal']",geoapify,Kota Malang,3.5,1806,7.499423290592229,0.7,3.93036350781726
Depot Gang Djangkrik,Unknown,"Depot Gang Djangkrik, Kawi Street 26, Malang 65100, East Java, Indonesia",-7.975403299759204,112.61924708569114,"['building', 'building.catering', 'building.commercial', 'catering', 'catering.restaurant']",geoapify,Kota Malang,4.4,633,6.452048954437226,0.8800000000000001,4.353614977138476
Kopi Kenangan,Unknown,"Kopi Kenangan, Bondowoso St., Malang 65115, East Java, Indonesia",-7.967182399758723,112.61428976490824,"['access', 'access.yes', 'building', 'building.catering', 'catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'halal', 'halal.only']",geoapify,Kota Malang,3.8,1519,7.326465613840322,0.76,4.1062221847929194
Bakso Bakar Pak Man Malangf,Unknown,"Bakso Bakar Pak Man Malangf, Jalan Profesor Mohammad Yamin, Malang 65117, East Java, Indonesia",-7.989600499760056,112.63083,"['catering', 'catering.fast_food']",geoapify,Kota Malang,3.9,1786,7.488293515159428,0.78,4.208166523760955
Soto Daging Madura,Unknown,"Soto Daging Madura, Jalan Nusa Kambangan, Malang 65117, East Java, Indonesia",-7.988586299759995,112.62943699999998,"['catering', 'catering.fast_food']",geoapify,Kota Malang,4.8,123,4.820281565605037,0.96,4.311509022844134
Warung Rujak Scui,Unknown,"Warung Rujak Scui, Halmahera 2, Malang 65117, East Java, Indonesia",-7.987827299759958,112.6293698,"['catering', 'catering.fast_food']",geoapify,Kota Malang,3.6,1428,7.264730177929867,0.72,3.9540357961974557
Tahu Campur Ichwan,Unknown,"Tahu Campur Ichwan, Jalan Kapten Pierre Tendean, Malang 65117, East Java, Indonesia",-7.987261299759921,112.6302226,"['catering', 'catering.fast_food']",geoapify,Kota Malang,4.4,961,6.8690144506657065,0.8800000000000001,4.435922706775486
Warung Facebook,Unknown,"Warung Facebook, Jalan Halmahera, Malang 65117, East Java, Indonesia",-7.9881601997599665,112.6299181,"['catering', 'catering.cafe']",geoapify,Kota Malang,3.9,1416,7.256297239690681,0.78,4.162371159658186
Warung Susu Kopi STMJ,Unknown,"Warung Susu Kopi STMJ, Jalan Nusa Kambangan, Malang 65117, East Java, Indonesia",-7.988464499759979,112.6295442,"['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop']",geoapify,Kota Malang,3.6,1238,7.122059881629142,0.72,3.925873110600282
Warung Soto Pak Ali,Unknown,"Warung Soto Pak Ali, Jalan Halmahera, Malang 65117, East Java, Indonesia",-7.988283899759979,112.6299788,"['catering', 'catering.fast_food']",geoapify,Kota Malang,3.9,1628,7.395721608602045,0.78,4.189893108992044
Warung Bakso Lek Mi,Unknown,"Warung Bakso Lek Mi, Kapten Piere Tendean 3, Malang 65117, East Java, Indonesia",-7.987362099759918,112.629304,"['catering', 'catering.fast_food']",geoapify,Kota Malang,4.5,1581,7.366445148327599,0.9,4.604114024154585
Es Ketan SMKN 4 Malang,Unknown,"Es Ketan SMKN 4 Malang, Jalan Tanimbar, Malang 65117, East Java, Indonesia",-7.989963899760084,112.6269577,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.6,1604,7.380879035564116,0.9199999999999999,4.676963229901871
Tahu Lontong Lamongan Nusakambangan,Unknown,"Tahu Lontong Lamongan Nusakambangan, Jalan Nusa Kambangan, Malang 65117, East Java, Indonesia",-7.988290699759986,112.62781270000002,"['catering', 'catering.restaurant']",geoapify,Kota Malang,3.9,1853,7.5251007461258,0.78,4.21543215998858
Tahu Lontong Bu Ita,Unknown,"Tahu Lontong Bu Ita, Piere Tendean 1D, Malang 65117, East Java, Indonesia",-7.987698699759949,112.62873709999998,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.6,1127,7.028201432058005,0.9199999999999999,4.607345736126071
Mie Pangsit Lezat Cak To,Unknown,"Mie Pangsit Lezat Cak To, Jalan Nusa Kambangan, Malang 65117, East Java, Indonesia",-7.98805039975996,112.6272196,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.5,948,6.855408798609928,0.9,4.503236992151443
Bebek Goreng H. Slamet,Unknown,"Bebek Goreng H. Slamet, Welirang St. 41, RW 07 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65112, East Java, Indonesia",-7.972721799759046,112.6242995,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian']",geoapify,Kota Malang,4.3,593,6.386879319362645,0.86,4.270750687999977
Ikan Bakar 52,Unknown,"Ikan Bakar 52, Jalan Kyai Haji Agus Salim 11, Malang 65118, East Java, Indonesia",-7.98400239975973,112.6330484,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian']",geoapify,Kota Malang,4.2,540,6.293419278846481,0.8400000000000001,4.182301958269943
Ichiban Sushi,Unknown,"Ichiban Sushi, Jalan Langsep Barat I, Malang 65115, East Java, Indonesia",-7.973712099759112,112.6118366,"['catering', 'catering.restaurant', 'catering.restaurant.japanese', 'catering.restaurant.sushi']",geoapify,Kota Malang,4.3,575,6.3561076606958915,0.86,4.264676455515671
Rice Bowl,Unknown,"Rice Bowl, Jalan Terusan Dieng, Malang 65115, East Java, Indonesia",-7.973660599759099,112.6114342,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian']",geoapify,Kota Malang,3.5,1926,7.563719668414366,0.7,3.9430554186115376
crispycornermalang,Unknown,"crispycornermalang, Jalan Pattimura 14, Malang 65111, East Java, Indonesia",-7.973451999759104,112.6361108,"['catering', 'catering.cafe', 'internet_access']",geoapify,Kota Malang,4.7,1528,7.332369205929062,0.9400000000000001,4.737387536041218
MAXIM STRONG RIDER,Unknown,"MAXIM STRONG RIDER, Jalan Sawojajar 20, Malang 65139, East Java, Indonesia",-7.973681899759099,112.6556219,"['catering', 'catering.cafe', 'internet_access']",geoapify,Kota Malang,4.7,1418,7.257707677160043,0.9400000000000001,4.722649575754837
DImsum Sewuan,Unknown,"DImsum Sewuan, Kh. Ahmad Dahlan Gang 1 464, Malang 65118, East Java, Indonesia",-7.985450899759808,112.63463179999998,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.8,1206,7.095893221097532,0.96,4.760707890839846
Richeese Factory Ijen,Unknown,"Richeese Factory Ijen, Ijen St., RW 05 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65115, East Java, Indonesia",-7.965716899758635,112.6246119,"['catering', 'catering.fast_food']",geoapify,Kota Malang,3.6,1405,7.2485040723706105,0.72,3.950832811966115
Pecel Kawi,Unknown,"Pecel Kawi, Kawi Street, Malang 65100, East Java, Indonesia",-7.975694899759234,112.62001569999998,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian', 'catering.restaurant.regional']",geoapify,Kota Malang,4.3,991,6.899723107284872,0.86,4.371984502845876
MAXIM RONGGOLAWE KLOJEN,Unknown,"MAXIM RONGGOLAWE KLOJEN, Jalan Ronggolawe 23, Malang 65126, East Java, Indonesia",-7.971374799758974,112.643634,"['catering', 'catering.cafe', 'catering.cafe.coffee', 'catering.cafe.coffee_shop', 'internet_access']",geoapify,Kota Malang,3.9,809,6.697034247666484,0.78,4.0519743341177605
Lafayette Coffee and Eatery,Unknown,"Lafayette Coffee and Eatery, Semeru St. 2, RW 04 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65119, East Java, Indonesia",-7.976243499759263,112.6291568,"['catering', 'catering.cafe', 'internet_access', 'internet_access.for_customers']",geoapify,Kota Malang,4.7,1790,7.490529402060711,0.9400000000000001,4.768607881082446
Gerbang Keluar UB Watugong,Unknown,"Gerbang Keluar UB Watugong, Jalan Watu Gong, Malang 16145, East Java, Indonesia",-7.949031399757645,112.6116028,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.7,806,6.693323668269949,0.9400000000000001,4.61124187695157
Mi Gacoan Sawojajar,Unknown,"Mi Gacoan Sawojajar, Jalan Dirgantara, Malang 65139, East Java, Indonesia",-7.9810979997595535,112.6537118,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian']",geoapify,Kota Malang,3.7,433,6.073044534100405,0.74,3.7888006492325026
Martabak Gudang Rasa,Unknown,"Martabak Gudang Rasa, Jalan Danau Toba, Malang 65139, East Java, Indonesia",-7.979078699759426,112.65943559999998,"['catering', 'catering.fast_food']",geoapify,Kota Malang,4.2,586,6.375024819828097,0.8400000000000001,4.198410645594796
Ayam Bakar Wong Solo,Unknown,"Ayam Bakar Wong Solo, Jalan Widodaren 1, Malang 65119, East Java, Indonesia",-7.979530699759458,112.62660259999998,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian', 'wheelchair', 'wheelchair.limited']",geoapify,Kota Malang,4.5,506,6.2285110035911835,0.9,4.379489260770412
Depot Mie Koh'Oen 5758,Unknown,"Depot Mie Koh'Oen 5758, Jalan Muhammad Husni Thamrin 4, Malang 65111, East Java, Indonesia",-7.97193729975901,112.6354916,"['catering', 'catering.restaurant', 'catering.restaurant.noodle']",geoapify,Kota Malang,4.2,296,5.6937321388027,0.8400000000000001,4.0639255279993955
Kamulyan Tri's Pecel Stall,Unknown,"Kamulyan Tri's Pecel Stall, Jalan Simpang Sulfat Utara 46, Malang 65126, East Java, Indonesia",-7.9582525997581985,112.6559988,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian', 'halal']",geoapify,Kota Malang,4.3,362,5.8944028342648505,0.86,4.173537317218326
Warung Nasi Campur 14,Unknown,"Warung Nasi Campur 14, Jalan Pandanwangi Inside, Malang 65124, East Java, Indonesia",-7.95792599975817,112.66111,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.3,1660,7.415175109613295,0.86,4.473733171338234
H&U Coffee and Eatery,Unknown,"H&U Coffee and Eatery, Jalan Majapahit 1- K, Malang 65119, East Java, Indonesia",-7.979619499759457,112.6312901,"['catering', 'catering.cafe', 'catering.cafe.cake', 'internet_access', 'internet_access.for_customers']",geoapify,Kota Malang,3.9,650,6.478509642208569,0.78,4.008838236988015
Laoban Kopitiam,Unknown,"Laoban Kopitiam, Jalan Soekarno-Hatta Indah, Malang 65142, East Java, Indonesia",-7.940718999757154,112.6300516,"['catering', 'catering.restaurant', 'catering.restaurant.chinese']",geoapify,Kota Malang,4.5,1550,7.346655163176539,0.9,4.600207540855445
Bubur Ayam Agus,Unknown,"Bubur Ayam Agus, Jalan Simpang Wilis Indah 3, Malang 65115, East Java, Indonesia",-7.970676799758924,112.61632509999998,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.6,1313,7.1808311990445555,0.9199999999999999,4.63747439115705
Morning Mate,Unknown,"Morning Mate, Jalan Candi Trowulan 59, Malang 65125, East Java, Indonesia",-7.941031299757173,112.6376533,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.8,857,6.754604099487962,0.96,4.69333844899495
Sumbersareh,Unknown,"Sumbersareh, Jalan Pisang Agung V, Malang 65115, East Java, Indonesia",-7.973939399759125,112.6042511,"['catering', 'catering.restaurant', 'catering.restaurant.noodle']",geoapify,Kota Malang,3.8,477,6.169610732491456,0.76,3.877862525145826
Kopi Hamur Mbah Indut,Unknown,"Kopi Hamur Mbah Indut, Jalan Arif Rahman Hakim 2, Malang 65119, East Java, Indonesia",-7.978935299759416,112.6282292,"['catering', 'catering.cafe']",geoapify,Kota Malang,3.9,1675,7.424165281042028,0.78,4.195507804026165
Jasa Ayah,Unknown,"Jasa Ayah, Jalan Candi Trowulan, Malang 65125, East Java, Indonesia",-7.940264899757129,112.6358678,"['catering', 'catering.restaurant', 'catering.restaurant.malay', 'catering.restaurant.malaysian', 'internet_access', 'internet_access.free']",geoapify,Kota Malang,4.3,395,5.981414211254481,0.86,4.190713100244464
Dapoer Limboek,Unknown,"Dapoer Limboek, Jalan Brigadir Jenderal Slamet Riyadi, RW 03 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65115, East Java, Indonesia",-7.966707499758694,112.6290387,"['catering', 'catering.restaurant']",geoapify,Kota Malang,4.1,940,6.846943139585379,0.82,4.221565896627966
Kopi Wojo,Unknown,"Kopi Wojo, Jalan Jenderal Basuki Rachmat, RW 04 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65119, East Java, Indonesia",-7.978996399759426,112.6288045,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.2,709,6.565264970035361,0.8400000000000001,4.235963476682728
Basra Kitchen,Unknown,"Basra Kitchen, Jalan Arif Rahman Hakim 2 986, Malang 65119, East Java, Indonesia",-7.978360099759386,112.62865469999998,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.1,576,6.3578422665081,0.82,4.125018861464148
Hamur Utea,Unknown,"Hamur Utea, Jalan Jenderal Basuki Rachmat, RW 04 Kel. Oro Oro Dowo, Klojen Kota Malang, Malang 65119, East Java, Indonesia",-7.978195399759376,112.62965509999998,"['catering', 'catering.cafe']",geoapify,Kota Malang,3.7,517,6.249975242259483,0.74,3.8237262366572766
Soto Gunung Mbah Djie,Unknown,"Soto Gunung Mbah Djie, Jalan Sigura - Gura 9, Malang 16145, East Java, Indonesia",-7.957957599758164,112.6107049,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian']",geoapify,Kota Malang,3.6,1229,7.114769448366463,0.72,3.9244340010927834
Bakso Malang Cak Cull Sigura-Gura,Unknown,"Bakso Malang Cak Cull Sigura-Gura, Jalan Sigura - Gura 34, Malang 16145, East Java, Indonesia",-7.957742699758152,112.60759319999998,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian']",geoapify,Kota Malang,3.9,1841,7.518607216815252,0.78,4.214150356914423
Beken - Bebek Kendang,Unknown,"Beken - Bebek Kendang, Jalan Terusan Sigura-Gura Barat 1A, Malang 16145, East Java, Indonesia",-7.9576661997581555,112.6065554,"['catering', 'catering.restaurant']",geoapify,Kota Malang,3.9,1177,7.071573364211532,0.78,4.125907224541341
Mie Gacoan,Unknown,"Mie Gacoan, Jalan Pajajaran, Malang 65111, East Java, Indonesia",-7.975898799759242,112.6361493,"['catering', 'catering.restaurant', 'catering.restaurant.noodle']",geoapify,Kota Malang,4.5,1734,7.45876269238096,0.9,4.622337228533427
Wwrung Bu Ana,Unknown,"Wwrung Bu Ana, Jalan J. A Suprapto II, Malang 65111, East Java, Indonesia",-7.96735289975873,112.63304789999998,"['catering', 'catering.fast_food']",geoapify,Kota Malang,4.0,1908,7.554334823725748,0.8,4.291202878614096
Crème,Unknown,"Crème, Jalan Simpang Borobudur 1, Malang 65125, East Java, Indonesia",-7.939486099757085,112.63887119999998,"['catering', 'catering.cafe', 'internet_access', 'wheelchair', 'wheelchair.limited']",geoapify,Kabupaten Malang,4.4,1540,7.340186835320115,0.8800000000000001,4.528930712472221
Warung Nasi Matos Bu Kesy,Unknown,"Warung Nasi Matos Bu Kesy, Jalan Gajayana 16, Malang 16145, East Java, Indonesia",-7.948007399757579,112.6088545,"['catering', 'catering.restaurant', 'catering.restaurant.indonesian', 'halal', 'vegetarian']",geoapify,Kota Malang,4.0,1840,7.518064181233078,0.8,4.284043163330577
Critasena,Unknown,"Critasena, Jalan Belakang Rumah Sakit Umum, Malang 65119, East Java, Indonesia",-7.975803299759232,112.6315957,"['catering', 'catering.cafe', 'internet_access']",geoapify,Kota Malang,4.8,762,6.637258031284457,0.96,4.6701746895399765
OYI! Buttermilk Chicken,Unknown,"OYI! Buttermilk Chicken, Jalan Gajayana, Kelurahan Dinoyo, Kecamatan Lowokwaru 65112, East Java, Indonesia",-7.944132799757362,112.6097935,"['catering', 'catering.fast_food']",geoapify,Kota Malang,4.7,658,6.490723534502507,0.9400000000000001,4.571249222438461
Vens Coffee,Unknown,"Vens Coffee, Jalan Candi Trowulan Kav 1, Malang 65142, East Java, Indonesia",-7.939548899757084,112.6330511,"['catering', 'catering.cafe']",geoapify,Kabupaten Malang,3.6,729,6.593044534142437,0.72,3.8214470787376715
Labore Coffee Eatery,Unknown,"Labore Coffee Eatery, 25, Malang 65142, East Java, Indonesia",-7.9393278997570755,112.630696,"['catering', 'catering.cafe']",geoapify,Kabupaten Malang,3.8,1182,7.075808863978387,0.76,4.056743299403268
Hobbies Kitchen,Unknown,"Hobbies Kitchen, 27, Malang 65142, East Java, Indonesia",-7.939262799757063,112.63056989999998,"['catering', 'catering.cafe']",geoapify,Kabupaten Malang,4.3,833,6.726233402358747,0.86,4.337738159066775
Monkey Garage,Unknown,"Monkey Garage, 34, Malang 65142, East Java, Indonesia",-7.938640999757041,112.62910399999998,"['catering', 'catering.cafe']",geoapify,Kabupaten Malang,4.2,1290,7.1631723908466425,0.8400000000000001,4.353988595751885
Levels,Unknown,"Levels, Jalan Borobudur 26, Malang 65142, East Java, Indonesia",-7.939068399757055,112.6364505,"['catering', 'catering.cafe']",geoapify,Kabupaten Malang,3.8,353,5.869296913133774,0.76,3.8185814842119123
Vosco Coffee,Unknown,"Vosco Coffee, Jalan Borobudur 27, Malang 65142, East Java, Indonesia",-7.940168199757121,112.6376659,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.1,1313,7.1808311990445555,0.82,4.28747439115705
Epic Culinary,Unknown,"Epic Culinary, Jalan Candi Trowulan Kav 17, Malang 65142, East Java, Indonesia",-7.939584799757089,112.6333364,"['catering', 'catering.cafe']",geoapify,Kabupaten Malang,4.0,415,6.030685260261263,0.8,3.9904390565100636
Teko Coffee Shop,Unknown,"Teko Coffee Shop, 38A, Malang 65141, East Java, Indonesia",-7.953713399757927,112.6319169,"['catering', 'catering.cafe']",geoapify,Kota Malang,3.8,1691,7.433666540166168,0.76,4.127383323881583
Justice Corner,Unknown,"Justice Corner, 11A, Malang 65141, East Java, Indonesia",-7.95611379975807,112.631717,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.5,483,6.182084906716632,0.9,4.3703248894633955
DW Coffee Shop,Unknown,"DW Coffee Shop, 11, Malang 65145, East Java, Indonesia",-7.961769199758399,112.6210363,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.0,321,5.7745515455444085,0.8,3.9398790347995725
Circle Cafe & Resto,Unknown,"Circle Cafe & Resto, D414, Malang 65141, East Java, Indonesia",-7.941516499757203,112.6228244,"['catering', 'catering.cafe']",geoapify,Kota Malang,4.1,455,6.1224928095143865,0.82,4.0785615894556235
Warung Samudra,Unknown,"Warung Samudra, Jalan Mergan, Malang 65147, East Java, Indonesia",-7.983720399759708,112.61419829267663,"['building', 'building.catering', 'catering', 'catering.restaurant']",geoapify,Kota Malang,4.2,1765,7.476472381163905,0.8400000000000001,4.415833067612407
Madame Wang Secret Garden,Unknown,"Madame Wang Secret Garden, Jalan Telomoyo 12, Malang 65115, East Java, Indonesia",-7.97282799975906,112.61899789546057,"['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.indonesian']",geoapify,Kota Malang,4.3,201,5.308267697401205,0.86,4.0578360114458
Cafetaria Citra Land UB,Unknown,"Cafetaria Citra Land UB, Jalan Terusan Cikampek, Malang 65113, East Java, Indonesia",-7.9528804497578705,112.61678736710304,"['building', 'building.catering', 'catering', 'catering.cafe', 'internet_access']",geoapify,Kota Malang,4.1,1031,6.939253946041508,0.82,4.239787771025463
Kedai Ciamso,Unknown,"Kedai Ciamso, Jalan Terusan Dieng 34, Malang 65115, East Java, Indonesia",-7.972881449759063,112.612834373327,"['building', 'building.catering', 'catering', 'catering.restaurant']",geoapify,Kota Malang,3.5,1406,7.249215057114389,0.7,3.8809731582072216
Warung Makan Soto Lombok,Unknown,"Warung Makan Soto Lombok, Jalan Lombok, Malang 65117, East Java, Indonesia",-7.986518749759881,112.62613251182128,"['building', 'building.catering', 'catering', 'catering.restaurant']",geoapify,Kota Malang,4.3,683,6.52795791762255,0.86,4.298599177211136
McDonald's MT Haryono Malang,Unknown,"McDonald's MT Haryono Malang, Jalan Watu Gong, Malang 16145, East Java, Indonesia",-7.946946299757521,112.61267829999998,"['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']",geoapify,Kota Malang,4.2,138,4.9344739331306915,0.8400000000000001,3.9140502513101008
